usuario_id;ip_usuario;fecha_envio;genero;edad;provincia;ciudad;tipo_colegio;colegio_actua;ubicacion_estudios;tipo_institucion;factores_carrera;perspectivas_carrera;interes_ia;interes_cc;interes_sw;interes_ti;interes_et;interes_ii;interes_ar;conocimiento_ia;conocimiento_cc;conocimiento_sw;conocimiento_ti;conocimiento_et;conocimiento_ii;conocimiento_ar;seleccion_carrera;otra_carrera
662900e248e79c012e620636794c1fe0;186.42.120.206;14/03/2024 09:12;Femenino;16 o menos;Tungurahua;Ambato;Fiscal;Mario Cobo Barona;En un Instituto Técnico/Tecnológico Superior;Privada;Oportunidades laborales y demanda en el mercado;De acuerdo;Neutral;NULL;Poco interesado;Estoy interesado;Estoy interesado;Neutral;Neutral;Tengo conocimientos básicos;Tengo un conocimiento Solido;Conozco algo;Tengo conocimientos básicos;Tengo un conocimiento Solido;Tengo conocimientos básicos;Tengo conocimientos básicos;Tecnologías de la Información;tecnologias
b04ba2099188e862021353cfd2c15146;186.42.120.206;14/03/2024 09:13;Masculino;16 o menos;Tungurahua;Ambato;Fiscal;Mario Cobo Barona;En un Instituto Militar y/o Policial;Exterior (fuera del país);Flexibilidad y posibilidad de trabajo remoto,Prestigio de la institución educativa,Habilidades e interés personal en el tema;De acuerdo;Neutral;Estoy interesado;Estoy muy interesado;Estoy interesado;Poco interesado;Neutral;Estoy muy interesado;Tengo un conocimiento Solido;Tengo un conocimiento Solido;Conozco algo;Conozco algo;Tengo un conocimiento Solido;Conozco algo;Tengo un conocimiento Solido;Ciencia de Datos e Inteligencia Artificial,Ciencias de la Computación,Ingeniería Industrial,Automatización y Robótica;NULL
02e0ac8737666cd1ad49150130e17bca;186.42.120.206;14/03/2024 09:14;Femenino;16 o menos;Cotopaxi;Latacunga;Fiscal;UNIDAD EDUCATIVA MARIO COBO BARONA;Aún no lo he decidido;Pública;Habilidades e interés personal en el tema;De acuerdo;Estoy interesado;Estoy interesado;Estoy interesado;Estoy interesado;Estoy interesado;No estoy interesado;Poco interesado;He oido del tema;He oido del tema;He oido del tema;He oido del tema;He oido del tema;No tengo conocimiento;No tengo conocimiento;Ninguna;NO
4120482979356869a64bdfcfc0653df1;181.196.104.10;14/03/2024 09:14;Masculino;17;Tungurahua;Ambato;Fiscal;MARIO COBO BARONA;En un Instituto Militar y/o Policial;Pública;Oportunidades laborales y demanda en el mercado;Neutral;Estoy interesado;Estoy interesado;Estoy interesado;Estoy interesado;Estoy interesado;Estoy muy interesado;Neutral;Tengo conocimientos básicos;Conozco algo;Conozco algo;Conozco algo;Conozco algo;Conozco algo;Conozco algo;Ingeniería Industrial;NULL
3c9e6e2ef4951a1be00972e5c9b13bfe;181.196.104.10;14/03/2024 09:14;Femenino;16 o menos;Tungurahua;Ambato;Fiscal;MARIO COBO BARONA ;Aún no lo he decidido;Exterior (fuera del país);Habilidades e interés personal en el tema;De acuerdo;No estoy interesado;No estoy interesado;No estoy interesado;No estoy interesado;Estoy interesado;No estoy interesado;No estoy interesado;He oido del tema;Conozco algo;He oido del tema;Conozco algo;Tengo conocimientos básicos;He oido del tema;He oido del tema;Electrónica y Telecomunicaciones;MECANICA
600208acb92409d33c6cd152874b1994;181.196.104.10;14/03/2024 09:14;Masculino;16 o menos;Tungurahua;Ambato;Fiscal;MARIO COBO BARONA;Aún no lo he decidido;Exterior (fuera del país);Habilidades e interés personal en el tema;De acuerdo;Estoy muy interesado;Estoy muy interesado;Estoy muy interesado;Estoy muy interesado;Estoy muy interesado;Estoy muy interesado;Estoy muy interesado;He oido del tema;He oido del tema;He oido del tema;No tengo conocimiento;Tengo conocimientos básicos;Conozco algo;Conozco algo;Automatización y Robótica;ARQUITECTURA
7b9affda3d91e20944fb334ea71bc4f7;181.196.104.10;14/03/2024 09:16;Femenino;16 o menos;Tungurahua;Ambato;Fiscal;Mario Cobo Barona;En un Instituto Técnico/Tecnológico Superior;Privada;Oportunidades laborales y demanda en el mercado;De acuerdo;Estoy interesado;Neutral;NULL;Poco interesado;Estoy interesado;Neutral;Poco interesado;Tengo conocimientos básicos;Conozco algo;Conozco algo;He oido del tema;Tengo conocimientos básicos;Conozco algo;Conozco algo;Tecnologías de la Información;Administracion
df2d4da6cad3e74df7740bb4f88dd35d;186.42.120.206;14/03/2024 09:16;Masculino;16 o menos;Tungurahua;Ambato;Fiscal;unidad educativa mario cobo barona ;En un Instituto Militar y/o Policial;Pública;Habilidades e interés personal en el tema;Totalmente de acuerdo;Estoy muy interesado;Estoy interesado;Estoy interesado;Neutral;Estoy interesado;Estoy interesado;Estoy muy interesado;Tengo conocimientos básicos;Tengo un conocimiento Solido;Tengo conocimientos básicos;Tengo conocimientos básicos;Tengo conocimientos básicos;Tengo un conocimiento Solido;NULL;Electrónica y Telecomunicaciones,Ciencias de la Computación;NULL
508b8e88c6b56700a444abb9808a0f5a;181.196.104.10;14/03/2024 09:16;Femenino;16 o menos;Tungurahua;Ambato;Fiscal;Unidad Educativa Mario Cobo Barona;En un Instituto Militar y/o Policial;Pública;Prestigio de la institución educativa,Flexibilidad y posibilidad de trabajo remoto;Neutral;Poco interesado;Neutral;Poco interesado;Neutral;No estoy interesado;Neutral;Estoy interesado;He oido del tema;Conozco algo;Conozco algo;He oido del tema;No tengo conocimiento;Conozco algo;He oido del tema;Automatización y Robótica;NULL
8cc79d3d6c3976a18cf595b705c968c6;186.42.120.206;14/03/2024 09:17;Masculino;16 o menos;Tungurahua;Ambato;Fiscal;MARIO COBO BARONA;En un Instituto Técnico/Tecnológico Superior;Exterior (fuera del país);Recomendación de familiares o amigos;Totalmente de acuerdo;Estoy muy interesado;Estoy interesado;Estoy interesado;Neutral;Estoy muy interesado;Estoy muy interesado;Neutral;Tengo un conocimiento Solido;Conozco algo;He oido del tema;Conozco algo;No tengo conocimiento;Conozco algo;Conozco algo;Ciencia de Datos e Inteligencia Artificial;NULL
