genero;edad;provincia;ciudad;tipo_colegio;colegio_actua;ubicacion_estudios;tipo_institucion;factor_carrera;perspectivas_carrera;interes_ia;interes_cc;interes_sw;interes_ti;interes_et;interes_ii;interes_ar;conocimiento_ia;conocimiento_cc;conocimiento_sw;conocimiento_ti;conocimiento_et;conocimiento_ii;conocimiento_ar;carrera
MASCULINO;17;TUNGURAHUA;AMBATO;FISCAL;UNIDAD EDUCATIVA AMBATO;EN UNA UNIVERSIDAD Y/O ESCUELA POLITÉCNICA;PÚBLICA;FLEXIBILIDAD Y POSIBILIDAD DE TRABAJO REMOTO;NEUTRAL;ESTOY MUY INTERESADO;ESTOY MUY INTERESADO;ESTOY MUY INTERESADO;ESTOY MUY INTERESADO;ESTOY MUY INTERESADO;ESTOY MUY INTERESADO;ESTOY MUY INTERESADO;CONOZCO ALGO;TENGO UN CONOCIMIENTO SOLIDO;CONOZCO ALGO;CONOZCO ALGO;TENGO UN CONOCIMIENTO SOLIDO;CONOZCO ALGO;TENGO CONOCIMIENTOS BÁSICOS;ELECTRÓNICA Y TELECOMUNICACIONES
MASCULINO;17;TUNGURAHUA;AMBATO;FISCAL;UNIDAD EDUCATIVA AMBATO;EN UNA UNIVERSIDAD Y/O ESCUELA POLITÉCNICA;PÚBLICA;RECOMENDACIÓN DE FAMILIARES O AMIGOS;NEUTRAL;ESTOY MUY INTERESADO;ESTOY MUY INTERESADO;ESTOY MUY INTERESADO;ESTOY MUY INTERESADO;ESTOY MUY INTERESADO;ESTOY MUY INTERESADO;ESTOY MUY INTERESADO;CONOZCO ALGO;TENGO UN CONOCIMIENTO SOLIDO;CONOZCO ALGO;CONOZCO ALGO;TENGO UN CONOCIMIENTO SOLIDO;CONOZCO ALGO;TENGO CONOCIMIENTOS BÁSICOS;INGENIERÍA EN TECNOLOGÍAS DE LA INFORMACIÓN
MASCULINO;17;TUNGURAHUA;AMBATO;FISCAL;UNIDAD EDUCATIVA AMBATO;EN UNA UNIVERSIDAD Y/O ESCUELA POLITÉCNICA;PÚBLICA;FLEXIBILIDAD Y POSIBILIDAD DE TRABAJO REMOTO;NEUTRAL;ESTOY MUY INTERESADO;ESTOY MUY INTERESADO;ESTOY MUY INTERESADO;ESTOY MUY INTERESADO;ESTOY MUY INTERESADO;ESTOY MUY INTERESADO;ESTOY MUY INTERESADO;CONOZCO ALGO;TENGO UN CONOCIMIENTO SOLIDO;CONOZCO ALGO;CONOZCO ALGO;TENGO UN CONOCIMIENTO SOLIDO;CONOZCO ALGO;TENGO CONOCIMIENTOS BÁSICOS;INGENIERÍA EN TECNOLOGÍAS DE LA INFORMACIÓN
MASCULINO;17;TUNGURAHUA;AMBATO;FISCAL;UNIDAD EDUCATIVA AMBATO;EN UNA UNIVERSIDAD Y/O ESCUELA POLITÉCNICA;PÚBLICA;RECOMENDACIÓN DE FAMILIARES O AMIGOS;NEUTRAL;ESTOY MUY INTERESADO;ESTOY MUY INTERESADO;ESTOY MUY INTERESADO;ESTOY MUY INTERESADO;ESTOY MUY INTERESADO;ESTOY MUY INTERESADO;ESTOY MUY INTERESADO;CONOZCO ALGO;TENGO UN CONOCIMIENTO SOLIDO;CONOZCO ALGO;CONOZCO ALGO;TENGO UN CONOCIMIENTO SOLIDO;CONOZCO ALGO;TENGO CONOCIMIENTOS BÁSICOS;INGENIERÍA DE SOFTWARE
MASCULINO;17;TUNGURAHUA;AMBATO;FISCAL;UNIDAD EDUCATIVA AMBATO;EN UNA UNIVERSIDAD Y/O ESCUELA POLITÉCNICA;PÚBLICA;FLEXIBILIDAD Y POSIBILIDAD DE TRABAJO REMOTO;NEUTRAL;ESTOY MUY INTERESADO;ESTOY MUY INTERESADO;ESTOY MUY INTERESADO;ESTOY MUY INTERESADO;ESTOY MUY INTERESADO;ESTOY MUY INTERESADO;ESTOY MUY INTERESADO;CONOZCO ALGO;TENGO UN CONOCIMIENTO SOLIDO;CONOZCO ALGO;CONOZCO ALGO;TENGO UN CONOCIMIENTO SOLIDO;CONOZCO ALGO;TENGO CONOCIMIENTOS BÁSICOS;INGENIERÍA DE SOFTWARE
MASCULINO;17;TUNGURAHUA;AMBATO;FISCAL;UNIDAD EDUCATIVA AMBATO;EN UNA UNIVERSIDAD Y/O ESCUELA POLITÉCNICA;PÚBLICA;RECOMENDACIÓN DE FAMILIARES O AMIGOS;NEUTRAL;ESTOY MUY INTERESADO;ESTOY MUY INTERESADO;ESTOY MUY INTERESADO;ESTOY MUY INTERESADO;ESTOY MUY INTERESADO;ESTOY MUY INTERESADO;ESTOY MUY INTERESADO;CONOZCO ALGO;TENGO UN CONOCIMIENTO SOLIDO;CONOZCO ALGO;CONOZCO ALGO;TENGO UN CONOCIMIENTO SOLIDO;CONOZCO ALGO;TENGO CONOCIMIENTOS BÁSICOS;FISIOTERAPIA
MASCULINO;17;TUNGURAHUA;AMBATO;FISCAL;UNIDAD EDUCATIVA AMBATO;EN UNA UNIVERSIDAD Y/O ESCUELA POLITÉCNICA;PÚBLICA;FLEXIBILIDAD Y POSIBILIDAD DE TRABAJO REMOTO;NEUTRAL;ESTOY MUY INTERESADO;ESTOY MUY INTERESADO;ESTOY MUY INTERESADO;ESTOY MUY INTERESADO;ESTOY MUY INTERESADO;ESTOY MUY INTERESADO;ESTOY MUY INTERESADO;CONOZCO ALGO;TENGO UN CONOCIMIENTO SOLIDO;CONOZCO ALGO;CONOZCO ALGO;TENGO UN CONOCIMIENTO SOLIDO;CONOZCO ALGO;TENGO CONOCIMIENTOS BÁSICOS;FISIOTERAPIA
FEMENINO;16 O MENOS;TUNGURAHUA;AMBATO;FISCAL;UNIDAD EDUCATIVA AMBATO;EN UNA UNIVERSIDAD Y/O ESCUELA POLITÉCNICA;PÚBLICA;OPORTUNIDADES LABORALES Y DEMANDA EN EL MERCADO;DE ACUERDO;NEUTRAL;NEUTRAL;NEUTRAL;NEUTRAL;POCO INTERESADO;POCO INTERESADO;NEUTRAL;HE OIDO DEL TEMA;HE OIDO DEL TEMA;CONOZCO ALGO;CONOZCO ALGO;CONOZCO ALGO;CONOZCO ALGO;CONOZCO ALGO;CIENCIA DE DATOS E INTELIGENCIA ARTIFICIAL
FEMENINO;16 O MENOS;TUNGURAHUA;AMBATO;FISCAL;UNIDAD EDUCATIVA AMBATO;EN UNA UNIVERSIDAD Y/O ESCUELA POLITÉCNICA;PÚBLICA;OPORTUNIDADES LABORALES Y DEMANDA EN EL MERCADO;DE ACUERDO;NEUTRAL;NEUTRAL;NEUTRAL;NEUTRAL;POCO INTERESADO;POCO INTERESADO;NEUTRAL;HE OIDO DEL TEMA;HE OIDO DEL TEMA;CONOZCO ALGO;CONOZCO ALGO;CONOZCO ALGO;CONOZCO ALGO;CONOZCO ALGO;ELECTRÓNICA Y TELECOMUNICACIONES
FEMENINO;16 O MENOS;TUNGURAHUA;AMBATO;FISCAL;UNIDAD EDUCATIVA AMBATO;EN UNA UNIVERSIDAD Y/O ESCUELA POLITÉCNICA;PÚBLICA;OPORTUNIDADES LABORALES Y DEMANDA EN EL MERCADO;DE ACUERDO;NEUTRAL;NEUTRAL;NEUTRAL;NEUTRAL;POCO INTERESADO;POCO INTERESADO;NEUTRAL;HE OIDO DEL TEMA;HE OIDO DEL TEMA;CONOZCO ALGO;CONOZCO ALGO;CONOZCO ALGO;CONOZCO ALGO;CONOZCO ALGO;AUTOMATIZACIÓN Y ROBÓTICA
FEMENINO;16 O MENOS;TUNGURAHUA;AMBATO;FISCAL;UNIDAD EDUCATIVA AMBATO;EN UNA UNIVERSIDAD Y/O ESCUELA POLITÉCNICA;PÚBLICA;OPORTUNIDADES LABORALES Y DEMANDA EN EL MERCADO;DE ACUERDO;NEUTRAL;NEUTRAL;NEUTRAL;NEUTRAL;POCO INTERESADO;POCO INTERESADO;NEUTRAL;HE OIDO DEL TEMA;HE OIDO DEL TEMA;CONOZCO ALGO;CONOZCO ALGO;CONOZCO ALGO;CONOZCO ALGO;CONOZCO ALGO;INGENIERÍA INDUSTRIAL
FEMENINO;16 O MENOS;TUNGURAHUA;AMBATO;FISCAL;UNIDAD EDUCATIVA AMBATO;EN UNA UNIVERSIDAD Y/O ESCUELA POLITÉCNICA;PÚBLICA;OPORTUNIDADES LABORALES Y DEMANDA EN EL MERCADO;DE ACUERDO;NEUTRAL;NEUTRAL;NEUTRAL;NEUTRAL;POCO INTERESADO;POCO INTERESADO;NEUTRAL;HE OIDO DEL TEMA;HE OIDO DEL TEMA;CONOZCO ALGO;CONOZCO ALGO;CONOZCO ALGO;CONOZCO ALGO;CONOZCO ALGO;INGENIERÍA EN TECNOLOGÍAS DE LA INFORMACIÓN
FEMENINO;16 O MENOS;TUNGURAHUA;AMBATO;FISCAL;UNIDAD EDUCATIVA AMBATO;EN UNA UNIVERSIDAD Y/O ESCUELA POLITÉCNICA;PÚBLICA;OPORTUNIDADES LABORALES Y DEMANDA EN EL MERCADO;DE ACUERDO;NEUTRAL;NEUTRAL;NEUTRAL;NEUTRAL;POCO INTERESADO;POCO INTERESADO;NEUTRAL;HE OIDO DEL TEMA;HE OIDO DEL TEMA;CONOZCO ALGO;CONOZCO ALGO;CONOZCO ALGO;CONOZCO ALGO;CONOZCO ALGO;INGENIERÍA DE SOFTWARE
FEMENINO;16 O MENOS;TUNGURAHUA;AMBATO;FISCAL;UNIDAD EDUCATIVA AMBATO;EN UNA UNIVERSIDAD Y/O ESCUELA POLITÉCNICA;PÚBLICA;OPORTUNIDADES LABORALES Y DEMANDA EN EL MERCADO;DE ACUERDO;NEUTRAL;NEUTRAL;NEUTRAL;NEUTRAL;POCO INTERESADO;POCO INTERESADO;NEUTRAL;HE OIDO DEL TEMA;HE OIDO DEL TEMA;CONOZCO ALGO;CONOZCO ALGO;CONOZCO ALGO;CONOZCO ALGO;CONOZCO ALGO;CIENCIAS DE LA COMPUTACIÓN
FEMENINO;16 O MENOS;TUNGURAHUA;AMBATO;FISCAL;UNIDAD EDUCATIVA AMBATO;EN UNA UNIVERSIDAD Y/O ESCUELA POLITÉCNICA;PÚBLICA;OPORTUNIDADES LABORALES Y DEMANDA EN EL MERCADO;DE ACUERDO;NEUTRAL;NEUTRAL;NEUTRAL;NEUTRAL;POCO INTERESADO;POCO INTERESADO;NEUTRAL;HE OIDO DEL TEMA;HE OIDO DEL TEMA;CONOZCO ALGO;CONOZCO ALGO;CONOZCO ALGO;CONOZCO ALGO;CONOZCO ALGO;FONOAUDIÓLOGA
MASCULINO;16 O MENOS;TUNGURAHUA;AMBATO;FISCAL;UNIDAD EDUCATIVA AMBATO;EN UNA UNIVERSIDAD Y/O ESCUELA POLITÉCNICA;PÚBLICA;HABILIDADES E INTERÉS PERSONAL EN EL TEMA;TOTALMENTE DE ACUERDO;NEUTRAL;ESTOY MUY INTERESADO;ESTOY MUY INTERESADO;ESTOY MUY INTERESADO;ESTOY MUY INTERESADO;ESTOY MUY INTERESADO;ESTOY MUY INTERESADO;HE OIDO DEL TEMA;CONOZCO ALGO;CONOZCO ALGO;TENGO CONOCIMIENTOS BÁSICOS;CONOZCO ALGO;TENGO CONOCIMIENTOS BÁSICOS;CONOZCO ALGO;CIENCIA DE DATOS E INTELIGENCIA ARTIFICIAL
